source_page,text,value_raw,imputed
7,"Table 2.2: Land, water and Parks by Area, 2014 ..............................................................2","2.2, 2014, 2",False
7,Population and Vital Statistics ...........................................................................4,4,False
7,"Table 3.1: National Population Trend by Sex, Households and Density, 1969 - 2009 ......5","3.1, 1969, 2009, 5",False
7,"Table 3.2: Population Projection by Sex, and Age Cohorts, 2010 - 2014 .........................6","3.2, 2010, 2014, 6",False
7,"Table 3.3: Population Projections of Selected Age groups by Sex, 2013 - 2014 ...............7","3.3, 2013, 2014, 7",False
