source_page,text,value_raw,imputed
36,"Table 7.3: Monthly Wholesale Market Price, 2014*","7.3, 2014",False
36,Commodity Unit Jan Feb Mar Apr May Jun Jul Aug Sept Oct Nov Dec,,False
36,"Dry Maize 90kg bag 2,860 2,520 2,562 2,550 3,225 3,300 3,175 2,820 2,275 2,150 2,100 2,100","90, 2,860, 2,520, 2,562, 2,550, 3,225, 3,300, 3,175, 2,820, 2,275, 2,150, 2,100, 2,100",False
36,"Green Maize 115kg bag 1,220 1,600 2,088 2,200 2,100 2,000 2,000 2,000 1,800 1,650 1,800 1,800","115, 1,220, 1,600, 2,088, 2,200, 2,100, 2,000, 2,000, 2,000, 1,800, 1,650, 1,800, 1,800",False
36,"Millet 90kg bag 5,400 5,480 3,800 5,050 6,375 6,700 6,200 6,500 6,500 6,500 6,500 6,500","90, 5,400, 5,480, 3,800, 5,050, 6,375, 6,700, 6,200, 6,500, 6,500, 6,500, 6,500, 6,500",False
