source_page,text,value_raw,imputed
33,"Table 1.3.4: ECDE Enrollment in Public Schools by Sub County,Ward and Sex 2019-2023","1.3, 4, 2019, -2023",False
33,"Table 1.3.5: ECDE Enrollment in Private Schools by Sub County, Ward and Sex, 2019-2023","1.3, 5, 2019, -2023",False
