source_page,text,value_raw,imputed
9,"Table 1.3.20: Secondary School Enrolments and Access Indicators, 2019-2023 ......................... 31","1.3, 20, 2019, -2023, 31",False
9,"Table 1.3.21: Public Secondary School Teachers by Qualification and Sex, 2019-2023 ............. 32","1.3, 21, 2019, -2023, 32",False
9,Table 1.3.32: Learner's Enrolment in Adult and Continuing Education- Secondary School,"1.3, 32",False
9,1.4 Health ............................................................................................................................................... 40,"1.4, 40",False
9,"Table 1.4.1: Health Facilities by Type, Ownership and Constituency, 2019- 2023 .................... 40","1.4, 1, 2019, 2023, 40",False
9,"Table 1.4.2: Public Health Facilities Beds and Cots by Constituency and Type of Facility, 2019-","1.4, 2, 2019",False
