Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,col_0,Sex,col_2,col_3,Density,2010,col_1,2011,col_4,col_5,2012,col_7,col_8,2013,col_10,col_11,col_12,col_13,Geographical Distribution,High Potential Km²,Medium Potential Km²,Low Medium Km²,Low potential Km²,Area Cropped (Hectares),Production (Tonnes),Crop,2014*,col_6,r 50 Kg Bag
,,,,,,28,,,,,,,,,,,,,,,,,,,,.. .. .. 3 31.5 3 78.0 4 02.0,.. .. 4 79.0 .. .. ..,.. 4 37.0 .. .. .. ..,"1 ,004.7 .. .. .. .. ..",,,,,,
,,,,,,28,,,,,,,,,,,,,,,,,,,,"1 ,111.5",479.0,437.0,"1,004.7",,,,,,
,,,,,,29,,,,2014*,,,2014*,,2013,2014*,,,,,,,,,,,,,,2013,2013,,,,
,,,,,,29,,,,"309,392 1,195 1,449 253 699 34,843 122 38,400 4,698 62,680 231,934 829",,,"98,761 1,898 1,725 435 315 67,620 226 5,845 640 4,774 23,660 884",,"9,000.00 103.00 74.90 0.85 2.40 1,900.00 4.10 5.10 72.90 296.00 3,502.00 75.00","10,500.00 47.80 50.70 12.60 2 3.00 1,700.00 6.10 7,600.00 93.90 1,008.00 4 ,128.00 4 2.00",,,,,,,,,,,,,,"92,715 2,955 2,672 103 32 60,008 185 4,627 526 4,537 16,910 1,033","265,356 2,597 2,141 17 75 39,148 83 25,838 3,964 22,806 149,843 1,518",,,,
,,,,,,29,,,Production (Tonnes),Value (KSh Million),,,,,,Production (Tonnes),,,,Area (Ha),,,,,,,,,,,,,Area (Ha),Value (KSh Million),
,,,,,,29,,,"41,568 30,944 28,080 473 65,166 23,151","1,227.50 354.71 146.36 49.35 1,231.07 0.30",,,,,,"47,368 36,379 30,363 513 75,234 25,211",,,,"1,474 1,168 1,641 22 3,413 1,166",,,,,,,,,,,,Tomatoes Cabbages Kales Carrots Bananas Mangoes,"1,700 1,298 1,603 22 3,980 1,268","1,624.12 394.68 181.79 57.82 1,428.28 315.92",
,,,,,,29,,,"189,382","3,009",,,,,,"215,068",,,,"8,884",,,,,,,,,,,,TOTAL,"9,871","4,003",
,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,"Source: Ministry of Agriculture, County Government of Bungoma",,,
,,,,,,29,,,,,,,,,,,,,,28 119 15 18,,,,,,,,,,,,,,,
,,,,,,29,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,
,,,,,,30,Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014*
,,,,,,30,Di-Ammonium Phosphate(DAP) Calcium Ammonium Nitrate NPK 25 5 5 NPK 26 5 5 SA Urea,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,400 2,700 3,150 3,150 1,800 2,800"
,,,,,,30,"Source: Ministry of Agriculture, Comty Government of Bun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
