source_page,text,value_raw,imputed
13,"Table 2.3.1.7: Estimated Livestock Population by Type, 2015-2021 ......................................................116","2.3, 1.7, 2015, -2021, 116",False
13,"Table 2.3.1.8: Estimated Livestock Population by Type and Sub-County, 2020-2021 .......................117","2.3, 1.8, 2020, -2021, 117",False
