Constituency/Ward,2013,2017,2022,page,Homa Bay Arujo,11,12,Offence,col_2,col_3,col_4,col_5,col_6,2023,col_8,col_9,col_10,col_11,col_12,Probation,col_7,col_13,col_14,col_15,Community Service,Aftercare,Number,col_1,col_0,col_16,col_17,col_18,Type of Offence,Theft by servant,0,2021
,,,,269,,,,,,,2020,,,,,,2022,,,,2021,2023,,,,2019,,,,,,,,,,
,,,,269,,,,,Female,Total,Male,Female,Total,,Female,Total,Male,Female,Total,,Male,Male,Female,Total,,Male,,,,,,,,,,
,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,269,,,,Murder (including attempt),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Manslaughter,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Rape (including attempt),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Assault,0,0,0,0,0,,0,0,0,0,0,,0,0,1,1,,0,,,,,,,,,,
,,,,269,,,,Other offences against persons,0,1,1,0,1,,0,2,0,0,0,,2,0,0,0,,1,,,,,,,,,,
,,,,269,,,,Robbery and Allied offences,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Breakings,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Theft of Stock General stealing,0 0,0 0,0 2,0 0,0 2,,0 0,0 1,0 1,0 0,0 1,,0 1,0 1,0 0,0 1,,0 0,,,,,,,,,,
,,,,269,,,,1 Dangerous drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,269,,,,,0,0,0,0,0,,0,0,1,0,1,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Handling stolen property,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Other offences against property,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,All other penal code offences,0,1,1,2,3,,0,0,0,0,0,,0,0,0,0,,1,,,,,,,,,,
,,,,269,,,,Sub-Total 2 0 2 4 2 6 GSoruarncde: TDoetpaalr (tMmeanlet +ofF Permobaaleti)on and Aftercar e Departm2ent 6,,,,,,,0 3,3,2,0 2,2,,3,1,1 2,2,,,,,,,,,,,,
,,,,270,,,,,2020,2021,2022,2023,,,,,,,,,,,,,,,Description,2019,,,,,,,,
,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270,,,,,,,,,,,,,,,,,,,,,,,Persons Killed or Injured,,,,,,,,,
,,,,270,,,,,115,110,105,145,,,,,,,,,,,,,,,Total Traffic Accidents Reported,95,,,,,,,,
,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270,,,,,76,59,62,68,,,,,,,,,,,,,,,Killed,96,,,,,,,,
