Constituency/Ward,2013,2017,2022,page,Homa Bay Arujo,11,12,Offence,col_2,col_3,col_4,col_5,col_6,2023,col_8,col_9,col_10,col_11,col_12,Probation,col_7,col_13,col_14,col_15,Community Service,Aftercare,Number,col_1,col_0,col_16,col_17,col_18,Type of Offence,Theft by servant,0,2021
,,,,276,,,,,Female,Total,Male,Female,Total,,Female,Total,Male,Female,Total,,Male,,,,,,,Male,,,,,,,,
,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Motor Vehicle & other thefts,51,
,,,Persons Without Disability,277,,,,,,,Persons With Disability,,,Persons Without Disability,,,Persons With Disability,,,,,,,,,,,,,Persons With Disability,,,,,,Persons Without Disability
,,,Male,277,,,,,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,,Female,Total,,,,,,Male,Female,Total,,,,Male
,,,,277,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,Motor Vehicle Total & other thefts,65,
,,,,277,,,,,,,,,,,,,,,,,2020,2021,,,,,Type of Offence,2019,,,,,,,,
,,,,277,,,,,,,Persons With Disability,,,,,,Persons With Disability,,,,Persons Without Disability,Persons Without Disability,,,,,,Persons Without Disability,,Persons With Disability,,,,,,
,,,,277,,,,,Female,Total,Male,Female,Total,,Female,Total,Male,Female,Total,,Male,Male,Female,Total,,,,Male,,Male,Female,Total,,,,
,,,Persons Without Disability,278,,,,,,,Persons With Disability,,,Persons Without Disability,,,Persons With Disability,,,,,,,,,,,,,,,,,,,
,,,Male,278,,,,,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,,,,,,,,,,,,,,,
