source_page,text,value_raw,imputed
9,"Table 15.3: Primary Schools by Category and Sub-County, 2013 - 2014 .......................36","15.3, 2013, 2014, 36",False
9,"Table 15.4: Primary school Enrolment by Class, Sex and Sub County, 2014* ...............37","15.4, 2014, 37",False
9,"Table 15.6: Teachers in Primary Schools by Sub-County, 2013-2014 ............................38","15.6, 2013, -2014, 38",False
9,"Table 15.9: Secondary Schools by Category Enrolment and Teachers, 2013 - 2014 ......39","15.9, 2013, 2014, 39",False
9,"Table 15.10: Secondary School Enrolment, GER and NER by Sex, 2013 - 2014 ...........39","15.10, 2013, 2014, 39",False
9,Public Health .................................................................................................... 42,42,False
9,"Table 16.1: Health Facilities and Beds by Type, 2014.....................................................43","16.1, 2014, 43",False
9,"Table 16.2: Health Facilities and Beds by Sub County, 2014 ..........................................43","16.2, 2014, 43",False
