"Map 2: Location of Makueni County in Kenya CCoouunnttyy SSttaattiissttiiccaall AAbbssttrraacctt,, 22002109 xxxxii",col_1,page,Total Cancer Cases,93,139,170,205,252,Type of Crop,2015,2016,2017,2018,2019*,col_0,Practising Agricultural Personel,Sub County,Land Use,Commodity,Input,KSh per 50 Kg bag,col_2,col_3,col_4,col_5,Class of Input,Type of Input,Unit,Type,Quantity,9102,hsK( eulaV )000‘,"000,016,284",Year,Sub-County,Category,2019,National Parks,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sept,Oct,Nov,Dec,Total,Road Class,Surface Type,Mbooni,Kilome,Kaiti,Makueni,Kibwezi West,Kibwezi East,Hotels,Resorts,detcelloC sDI RPN,*9102,"141,2 618,9 390,3 786,2 872,01 313,4 062,4 205,5 073,3","064,54",Type of Institution,*0202/9102,latoT elameF elaM,Funds,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020*,tnempoleveD,-idnepxE erut,"57.246,2",col_6,col_8,2015/16,2016/17,2017/18,2018/19,2019/20*,Economic Activities,2013,2014
,,46,,,,,,,,"3,200 2,200 2,500 3,100","3,100 2,200 2,400 3,200","3,250 2,200 2,600 3,200","3,300 2,300 2,500 3,200",,,,,,,,,,,,,,DAP CAN UREA NPK,50k Bag 50k Bag 50k Bag 50k Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,,,,,,,,"525 850 150 8,500 180 250 450 225 400","500 900 140 8,700 180 240 420 240 380","500 950 140 9,000 200 245 430 245 400","550 1,000 150 9,000 200 250 420 240 350",,,,,,,,,,,,,,Maize Seed (Hybrid) Tomatoes Kales Melons Egg Plant Pepper Onions Capsicum Sorghum,2kg packet 50g tin 50g tin 50 g tin 50g tin 50g tin 50g tin 50g tin 2kg packet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,,,,,,,,"780 850 2,700 250 150 140 3,200","750 850 2,600 280 150 140 3,100","800 850 2,800 250 140 150 3,000","780 900 2,800 300 140 150 3,200",,,,,,,,,,,,,,Bulldock(powder) Bulldock(liquid) Karate Cyclone Aglo-feed Actellic Super Bayfidam,1kg 100ml 1litre 100ml 500ml 200ml 1litre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,,,,,,,,75 65 80,75 65 75,80 60 75,80 60 80,,,,,,,DAP CAN NPK 23: 23:0,,,,,,,,,,1kg 1kg 1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,,,,,,,,400 525 400 480 380 400 450 225 280 145 120 220 160 280 80 90 750,400 500 380 500 390 400 420 240 290 120 145 225 165 280 80 90 780,450 500 400 485 400 400 430 245 270 150 150 210 150 280 85 90 785,400 550 350 500 420 450 420 240 290 140 160 200 150 320 90 100 800,,,,,,,Maize Seed (PH4) Maize Seed(Duma) Sorghum Beans Cow Peas Green Grams Onions (Red Creole) Capsicums Brinjols Chillies Kales Okra Dania Water Melon Spinach Cabbage Tomatoes (Rio Grande),,,,,,,,,,2kg 2kg 2kg 2kg 2kg 2kg 50g 25g 5g 50g 50g 50g 25g 25g 25g 25g 10g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,,,,,,,,"225 780 350 750 2,500 650","230 750 300 700 2,450 680","250 800 320 850 2,600 700","240 780 300 800 2,550 720",,,,,,,Actellic Super Buldock GR Karate Dynamic Ridomil Thunder,,,,,,,,,,200g 1kg 100ml 100ml 1kg 100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fo yart tsoc @,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebmuN syarT fo,"525,602,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,"832,983,88 052,999,63 976,238,14 593,659,18 612,834,18 905,364,001 004 004 004 004 004 004 379,022 894,29 285,401 198,402 695,302 951,152",,,,,,,,,8102,hsK(eulaV )000‘,"682,970,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fo yart tsoc @,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebmuN syarT fo,"896,770,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,"543,505,78 752,926,63 253,414,14 138,631,18 438,326,08 478,854,99 004 004 004 004 004 004 367,812 375,19 635,301 248,202 065,102 746,842",,,,,,,,,7102,hsK( eulaV )000‘,"394,867,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fo yart tsoc @,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebmuN syarT fo,"129,660,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,"277,421,87 106,207,23 437,479,63 269,834,27 959,089,17 288,697,88 063 063 063 063 063 063 310,712 148,09 807,201 912,102 749,991 856,642",,,,,,,,,6102,hsK( eulaV )000‘,"019,810,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fo yart tsoc @,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebmuN syarT fo,"683,850,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ytnuoC buS,,latoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,,,,,,,,"6,682,136 3,848,903 2,753,496 5,800,420 2,753,497 3,305,505","7,012,102 4,037,679 2,890,219 6,080,969 3,889,521 3,455,541","7,331,520 4,362,446 3,014,415 6,378,302 4,138,079 3,669,374","7,696,253 3,713,168 3,300,274 6,344,305 4,288,957 3,794,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
