"Map 2: Location of Makueni County in Kenya CCoouunnttyy SSttaattiissttiiccaall AAbbssttrraacctt,, 22002109 xxxxii",col_1,page,Total Cancer Cases,93,139,170,205,252,Type of Crop,2015,2016,2017,2018,2019*,col_0,Practising Agricultural Personel,Sub County,Land Use,Commodity,Input,KSh per 50 Kg bag,col_2,col_3,col_4,col_5,Class of Input,Type of Input,Unit,Type,Quantity,9102,hsK( eulaV )000‘,"000,016,284",Year,Sub-County,Category,2019,National Parks,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sept,Oct,Nov,Dec,Total,Road Class,Surface Type,Mbooni,Kilome,Kaiti,Makueni,Kibwezi West,Kibwezi East,Hotels,Resorts,detcelloC sDI RPN,*9102,"141,2 618,9 390,3 786,2 872,01 313,4 062,4 205,5 073,3","064,54",Type of Institution,*0202/9102,latoT elameF elaM,Funds,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020*,tnempoleveD,-idnepxE erut,"57.246,2",col_6,col_8,2015/16,2016/17,2017/18,2018/19,2019/20*,Economic Activities,2013,2014
,,67,,,,,,,,,,,,,,,,,,,,,"95.42 44.64 72.25 98.391 79.41 04.84 08.96 39.004 43.155 38.553 33.612 33.152 86.002 16.935,2 98.772 79.307 48.42 53.65 00.06 15.691 25.51 70.25 13.37 96.504 26.316 14.604 79.622 71.262 98.422 24.777,2 83.972 89.307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tnerruceR,-idnepxE erut,"72.849,5",,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devorppA etamitsE,"21.973,6",,,,,,,,,,
,,67,,,,,,,,,,,,,9102/8102,,,,,,,,- - 36.031 - - 99.932,- - 94.25 44.33 - 14.24 63.712 57.167 55.994 12.914 43.273 10.8 94.97 - - 93.87 32.43 - 34.09 27.633 31.989 76.197 09.279 53.667 64.61 90.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tnempoleveD,-idnepxE erut,"96.616,2",,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devorppA etamitsE,"63.714,4",,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,"80.12 47.85 41.35 70.181 92.41 51.64 97.15 63.892 67.616 50.033 98.181 46.832 63.271 32.026,2 61.672 72.547 90.63 42.16 98.76 82.781 75.61 59.05 21.06 31.213 01.346 54.543 53.391 33.042 11.091 40.897,2 43.582 63.647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tnerruceR,-idnepxE erut,"79.509,5",,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devorppA etamitsE,"63.432,6",,,,,,,,,,
,,67,,,,,,,,,,,,,8102/7102,,,,,,,,"- - 44.62 - - 76.56 40.29 - 28.44 55.181 84.153 55.582 26.554 34.293 08.2 22.24 - - 08.87 - - 89.921 72.681 - 56.35 26.622 71.417 67.074 97.110,1 92.036 78.3 13.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tnempoleveD,-idnepxE erut,"16.049,1",,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devorppA etamitsE,"05.975,3",,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,"97.52 00.36 04.04 55.761 93.62 73.67 26.17 86.338 90.956 97.423 97.421 85.032 40.931 69.169,1 70.762 40.716 83.03 32.56 40.44 49.881 06.82 38.97 65.47 62.848 03.568 39.353 69.521 94.442 08.251 81.760,2 08.203 01.326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tnerruceR,-idnepxE erut,"71.926,5",,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devorppA etamitsE,"93.590,6",,,,,,,,,,
,,67,,,,,,,,,,,,,ytitnE/ecffiO/yrtsiniM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latoT,,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,Disbursement,,Disbursement,,,,,,,,,,,Consistituency Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allocation,Allocation,Allocation,Allocation,,,,,Disbursement,Disbursement,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,138 110 154 95 153 138,,45 45 119 82 82 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152 138 134 106 115 135,82 82 82 82 82 82,98 98 98 98 98 98,109 109 109 109 109 109,,,,,98 98 45 98 98 97,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,788,,414,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,492,588,654,,,,,534,629,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,496 17,393 65,078,000.00 1,682,712.00 66,760,712.00 100,000,000.00 65.08","25,934 24,672 65,462,900.00 1,975,884.00 67,438,784.00 80,000,000.00 81.83","32,952 25,655 83,160,000.00 3,310,393.00 86,470,393.00 102,386,000.00 81.22","42,215 33,155 127,090,700.00 4,331,012.00 131,421,712.00 115,500,000.00 113.79",,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed Businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,393","24,672","25,655","38,121",,,,,,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed Retail Traders (excl. Supermarkets),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,322","14,566","17,136","19,561",,,,,,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed Wholesale Traders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,252,253,322,,,,,,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Licenced Businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,870","9,854","8,266","18,238",,,,,,,,,,,,,,
,,69,,,,,,,,"41,594","44,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,394","31,694"
,,69,,,,,,,,595,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,490
,,69,,,,,,,,376,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,344
,,69,,,,,,,,220,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,85
,,69,,,,,,,,691,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,590
,,69,,,,,,,,"3,433","4,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,693","2,414"
,,69,,,,,,,,"4,358","4,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,520","3,999"
,,69,,,,,,,,"4,922","5,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,798","4,709"
,,69,,,,,,,,129,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,95
,,69,,,,,,,,719,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,487
,,69,,,,,,,,"5,022","5,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,676","4,458"
,,69,,,,,,,,"4,552","5,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,668","4,052"
,,69,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,69,,,,,,,,"5,620","6,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,374","5,105"
,,69,,,,,,,,"9,340","9,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,508","8,528"
,,69,,,,,,,,"2,364","2,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,520","1,906"
,,69,,,,,,,,"1,680","1,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,385","1,533"
,,69,,,,,,,,(393),(565),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(256),(322)
,,69,,,,,,,,"87,239","94,762","100,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,"63,327","72,184"
,,69,,,,,,,,"21,764","20,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,605","19,258"
,,69,,,,,,,,456,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,406
,,69,,,,,,,,274,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,265
,,69,,,,,,,,169,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,95
,,69,,,,,,,,431,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,405
,,69,,,,,,,,"2,209","2,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,288","1,666"
,,69,,,,,,,,"2,844","2,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,526","2,702"
,,69,,,,,,,,"2,682","2,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,207","2,481"
,,69,,,,,,,,100,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,68
,,69,,,,,,,,"1,300","1,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,037","1,205"
,,69,,,,,,,,"2,844","3,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,393","2,598"
,,69,,,,,,,,"3,204","3,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,880","3,019"
,,69,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,69,,,,,,,,"3,314","3,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,969","3,134"
,,69,,,,,,,,"8,775","9,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,572","8,392"
,,69,,,,,,,,"1,462","1,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,253","1,362"
,,69,,,,,,,,"1,114","1,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,066","1,092"
,,69,,,,,,,,(264),(316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(180),(231)
,,69,,,,,,,,"52,679","53,801","53,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,"45,774","47,918"
