source_page,text,value_raw,imputed
6,"Table 1.4.1: Health Facilities by Type, Level, Ownership and Sub County, 2020-2023 73","1.4, 1, 2020, -2023, 73",False
6,"Table 1.4.2: Number of Beds and Cots in Public Health Facilities by Type of Facility and Sub County,","1.4, 2",False
6,"Table 1.4.22: Reproductive, maternal, Newborn, Child and Adolescent Health (RMNCAH) Indicators,","1.4, 22",False
6,"Table 1.4.25: Health Facility Causes of Deaths by Age Group and Sex, 2019 111","1.4, 25, 2019, 111",False
6,"Table 1.4.26: Health Facility Causes of Deaths by Age Groups and Sex,2020 113","1.4, 26, 2020, 113",False
6,"Table 1.4.27: Health Facility Causes of Deaths by Age Groups and Sex,2021 116","1.4, 27, 2021, 116",False
6,"Table 1.4.28 Health Facility Causes of Deaths by Age Groups and Sex,2022 119","1.4, 28, 2022, 119",False
6,"Table 1.4.29 Health Facility Causes of Deaths by Age Groups and Sex,2023 122","1.4, 29, 2023, 122",False
