col_0,Total,Sex,col_3,col_4,Households,col_6,Land Area,Density,page
Kachien South,"184,,306211","81,,690052","92,,715169","4,491327","4,398236",2191,4 79..52,348368,26
North Kamagak,"48,920","23,116","25,804","12,078","12,045",33,61.0,802,26
,,Male,Female,Total,Conventional,Group Quarters,Sq. Km,Persons per Sq. Km,27
,"10,306","5,062","5,244","2,353","2,353",-,18.8,548,27
East Kamagak,,,,,,,,,27
Oyugis Town,"167,,460100","28,,914679","39,,445431","14,,475709","14,,475406",3 3-,1 94..57,"3 ,372685",27
Sino Kagola,,,,,,,,,27
West Kamagak,"5134,,263094","256,,192308","287,,161696","123,,144986","113,,946926",186 -,1 2128..30,483151,27
West Kasipul,,,,,,,,,27
Kodera North,"125,,856069","62,,051719","62,,895350","21,,823597","21,,823098",4 9-,3292..21,322489,27
Kodera South,,,,,,,,,27
Kokech,"1111,,422080","55,,338644","65,,084346","22,,666333","22,,662323",41 -,2231..80,458304,27
Konuonga,,,,,,,,,27
R aKnogwwidei Sub-County,"11172,,723326","555,,470842","626,,342554","272,,070536","262,,968630",2906,2 7146..13,472592,27
,"63,313","29,799","33,512","14,810","14,791",19,146.6,432,27
North Nyokal,"13,365","6,381","6,984","3,161","3,160",1,32.2,415,27
Central Kochia,,,,,,,,,27
East Kagan,"107,,149735","43,,850331","53,,399403","21,,480966","21,,480768",1 8-,2263..91,337284,27
East Kochia,,,,,,,,,27
Gongo,"67,,285219","23,,867711","34,,318508","11,,377785","11,,377785",--,1136..19,447674,27
Kagan South,,,,,,,,,27
West Kagan,"170,,921891","34,,783075","45,,148725","12,,831777","12,,831777",--,1212..95,646566,27
West Kochia,"54,419","25,605","28,813","12,193","12,192",1,127.5,427,27
Rangwe,"5,878","2,704","3,174","1,383","1,383",-,12.4,475,27
,,Male,Female,Total,Conventional,Group Quarters,Sq. Km,Persons per Sq. Km,28
,,,,,,,,,28
Gem Central,"1112,,125754","55,,284278","56,,940486","22,,478937","22,,478927",1 -,2261..52,452719,28
Gem West,,,,,,,,,28
Genga,"142,,363303","25,,098313","26,,264999","2,981456","2,981456",--,1229..31,345324,28
Komolo,,,,,,,,,28
S u Kboat iNenoorth Sub-County,"1248,,913489","603,,583102","644,,430367","291,,776669","291,,676629",104 -,4 0266..30,330173,28
,"25,474","12,210","13,264","5,639","5,638",1,134.7,189,28
Lambwe,"15,050","7,210","7,840","3,326","3,325",1,79.1,190,28
Lambwe East,,,,,,,,,28
Lambwe West,"4150,,942294","215,,909060","235,,943224","102,,830103","102,,732193",71 -,1 6525..56,218838,28
Mbita,,,,,,,,,28
Gembe Central,"137,,707262","63,,545239","73,,252933","31,,131399","31,,036339",56 -,4456..13,310562,28
Gembe East,,,,,,,,,28
Gembe West,"2245,,112331","1112,,905174","1123,,116166","66,,038452","66,,038257",1 5-,6761..21,336543,28
Mfangano,,,,,,,,,28
Mfangano East,"55,,357241","22,,569811","22,,788430","11,,233127","11,,233127",--,1 69..05,353769,28
Mfangano North,,,,,,,,,28
Mfangano South,"66,,929317","33,,425287","33,,503130","11,,782088","11,,782088",--,2191..70,253666,28
Mfangano West,"29,412","14,367","15,044","7,242","7,210",32,42.9,685,28
Rusinga,"14,055","6,847","7,207","3,517","3,517",-,18.6,754,28
Rusinga East,,,,,,,,,28
,,Male,Female,Total,Conventional,Group Quarters,Sq. Km,Persons per Sq. Km,29
Suba South Sub-County,"122,383","59,383","62,998","27,769","27,635",134,634.1,193,29
,"45,235","21,971","23,264","10,614","10,488",126,197.2,229,29
Central,,,,,,,,,29
Kaksingiri East,"168,,812269","83,,093549","84,,719720","41,,285825","41,,285825",--,2650..43,616335,29
Kaksingiri Central,,,,,,,,,29
Kaksingiri West,"155,,115273","27,,538926","27,,577257","13,,129807","13,,026847",126 -,3756..15,114978,29
Ruma,"77,119","37,383","39,734","17,130","17,126",4,317.5,243,29
Gwassi,"17,990","8,686","9,304","4,058","4,056",2,74.3,242,29
Gwassi Central,,,,,,,,,29
Gwassi East,"1181,,413161","85,,940521","95,,563539","32,,923480","32,,923480",--,6780..36,217507,29
Gwassi North,,,,,,,,,29
Gwassi South,"1190,,328002","94,,487722","95,,930380","42,,628095","42,,628075",2 -,4585..95,319864,29
