col_0,Units,col_2,page,Unit,2013
Altitude: Highest point Altitude: Lowest point Latitudes Longitudes,: metres a.s.l : metres a.s.l : degrees N/S : degrees E/W,"4 ,321 1 ,200 0°28´ & 1°30´ North 34° 20´ East & 35° 15´",19,,
,,,19,: mm : mm : mm : degrees centigrade : degrees centigrade : degrees centigrade,150.87 234.50 142.56 18.50 13.70 27.90
