source_page,text,value_raw,imputed
31,"Table 6.2: Monthly Average Wholesale Price of Some Selected Food Commodities, 2014*","6.2, 2014",False
31,Selling Average Price KSh,,False
31,Commodity Unit Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,,False
31,"Maize 90Kg Bag 2,500 2,500 2,700 3,000 3,000 3,600 3,600 3,600 3,600 2,500 2,250 2,500","90, 2,500, 2,500, 2,700, 3,000, 3,000, 3,600, 3,600, 3,600, 3,600, 2,500, 2,250, 2,500",False
31,"Beans 90Kg Bag 5,400 5,400 6,000 6,300 6,300 7,200 6,000 6,000 6,000 4,500 5,400 5,400","90, 5,400, 5,400, 6,000, 6,300, 6,300, 7,200, 6,000, 6,000, 6,000, 4,500, 5,400, 5,400",False
