source_page,text,value_raw,imputed
35,"Table 7.2: Monthly Average Retail Prices Of Certain Consumer Goods, 2014*","7.2, 2014",False
35,ITEM UNIT JanuaryFebruaryMarch April May June July August SeptemObcetorberNovembeDrecember,,False
35,Beef with bones 1 kg 333 333 333 337 337 337 337 337 343 343 363 363,"1, 333, 333, 333, 337, 337, 337, 337, 337, 343, 343, 363, 363",False
35,"Bread,white 400 gms 44 44 44 44 45 44 42 44 45 45 45 45","400, 44, 44, 44, 44, 45, 44, 42, 44, 45, 45, 45, 45",False
35,Cabbages 1 kg 62 53 52 42 38 40 46 46 53 52 48 48,"1, 62, 53, 52, 42, 38, 40, 46, 46, 53, 52, 48, 48",False
